worktree_id	head	mode	branch	dirty	disposition
0005e13fa7d522db	09a2b2f781a9ea840c9165940964d1c2d9a5a5fe	branch	codex/5779-standalone-cleanup	clean	preserve_registration_branch_and_existing_work
047872ff96e341d8	8bf36c9d214a54212e7c483fb29872e9be9e92b3	branch	codex/5107-v092-adaptive-learning-dag-queue	dirty	preserve_registration_branch_and_existing_work
084f488b37c607fa	be848d40aa76b8ee9fff5d0ef0533e01d7ac52e5	branch	codex/v0916-demo-matrix-flagship-demos	clean	preserve_registration_branch_and_existing_work
0928ce7b1360650f	69d92361282fdd7bc515bfedde69a3dc4cb1730e	detached	-	clean	preserve_registration_branch_and_existing_work
09e30a2f4b93c0c4	f62e36f1a70cae3adee71c715a3f5456df08f917	branch	codex/5728-v0918-adr-set	dirty	preserve_registration_branch_and_existing_work
0b06971eb592ae01	fdc009fa9559aca35892686788b39a903d807cc9	branch	codex/5733-demo-matrix-proof-coverage	dirty	preserve_registration_branch_and_existing_work
0dfc5f24449e8259	d0ded4ef1c22f07b9bf57dcff80630270fa14af7	branch	codex/4641-v0917-launch-birthday-handoff	dirty	preserve_registration_branch_and_existing_work
0f2db22ef7bb3614	f2fb957809004f0eb3fbc9df45975859f0ca6184	branch	codex/4644-v0917-docs-alignment	clean	preserve_registration_branch_and_existing_work
105b2f9b07b89545	8831d7bd2844f81457a50d5780e73eb0c0776764	detached	-	clean	preserve_registration_branch_and_existing_work
145205eccda98c49	daed41cb4336277e708f8fff95e2fe3a2a37cc72	branch	codex/5855-child-readiness-fixes	dirty	preserve_registration_branch_and_existing_work
165292b530d94e71	92451299651c44725a1951d4101b9cba27cad864	branch	codex/5818-v092-canonical-doc-activation	clean	preserve_registration_branch_and_existing_work
17054b2619854552	b9699458ff5f12ee14b0cf0bb734550401e1fa41	branch	codex/5860-birthday-readiness-repair-v2	clean	preserve_registration_branch_and_existing_work
17b55969cab16f30	c9b5c625ccfb17b1a75fd3a1a93f4810baf4a3e2	branch	codex/4758-v0918-preparation	dirty	preserve_registration_branch_and_existing_work
1cf38532a76bfc73	732e641fae55b139cf165810027f0697fc2b62a0	branch	codex/5348-v0918-preparation	clean	preserve_registration_branch_and_existing_work
1de939ec4e13cda0	083c389ab53cf4ec10df0c40eb8014ac3ca4cf9d	branch	codex/5413-closeout	dirty	preserve_registration_branch_and_existing_work
1f2bb479c8b4b579	6fb2539d9d84cb917f5968c2350cb68b00497612	detached	-	clean	preserve_registration_branch_and_existing_work
20f53e50e36abc75	0ec6eddf102ee6b0aa0d766f04549e94ce4e6b35	branch	codex/5860-foundation-rollback-followup	clean	preserve_registration_branch_and_existing_work
21ea17892e5070f6	a57758c7b138815986b7fbe0d399f51df7d51748	branch	codex/5724-adl-semantic-abi-plan	clean	preserve_registration_branch_and_existing_work
221a07b1da5f945e	60d9070863afc9b394d46eba5984529243464642	branch	codex/4642-v0917-demo-convergence	dirty	preserve_registration_branch_and_existing_work
22e4d6de88af3af7	9719252262913351144a20adf0affb7ed4b5480d	branch	codex/4760-v0918-wp14-preparation	dirty	preserve_registration_branch_and_existing_work
2462848aebdf7c52	ab834b8aa729b5fbd8d86165038b83e7f4224330	branch	codex/5684-csdlc-github-tool-split	clean	preserve_registration_branch_and_existing_work
24b63b2cbe0ad572	78cd24d8055fe922f55570c005d2ccba3b908560	branch	codex/5409-receipt-fix	dirty	preserve_registration_branch_and_existing_work
25f5452d26547ac8	45f14be13098acd99c53cc3c79347142145b49a1	branch	codex/5344-v0918-wp12-soak-rollback	dirty	preserve_registration_branch_and_existing_work
285edf02f8fae922	dd1972aa2c544a3f8ad51dde2e7611fcc0c5fc26	branch	codex/csdlc-merge-command-impl	dirty	preserve_registration_branch_and_existing_work
287d23f6c5190835	8a43317b2e0ebd83028dd4b6840acfff6e9e64da	branch	codex/5701-terminal-closeout	dirty	preserve_registration_branch_and_existing_work
294ed89169e937b5	2c113c876e1d7fc38b3b8ef5aa4ab0883987e244	branch	codex/5600-terminal-at-squash	clean	preserve_registration_branch_and_existing_work
